DOI,Author
10.2307/25650648,199
10.2307/25650646,234
10.2307/25650647,410
10.2307/25650644,629
10.2307/25650645,21
10.2307/25650642,119
10.2307/25650643,778
10.2307/25650640,751
10.2307/25650640,166
10.2307/25650641,221
10.2307/4331514,78
10.2307/4331514,25
10.2307/4331668,109
10.2307/4331669,229
10.2307/4331662,224
10.2307/4331663,719
10.2307/4331660,638
10.2307/4331661,146
10.2307/4331666,98
10.2307/4331667,191
10.2307/4331664,784
10.2307/4331664,549
10.2307/4331664,4
10.2307/4331665,118
10.2307/4330592,768
10.2307/4330592,324
10.2307/4330591,792
10.2307/4330590,134
10.2307/4330597,59
10.2307/4331069,195
10.2307/4330595,186
10.2307/4330594,332
10.2307/4331510,292
10.2307/4330599,611
10.2307/4331067,77
10.2307/4331060,751
10.2307/4331061,796
10.2307/4330915,52
10.2307/4330914,407
10.2307/4330913,751
10.2307/4330912,723
10.2307/4330911,588
10.2307/4330910,588
10.2307/4331513,688
10.2307/4330919,750
10.2307/4330918,168
10.2307/4330628,211
10.2307/4330625,830
10.2307/4330624,839
10.2307/4330624,96
10.2307/4330627,646
10.2307/4330626,648
10.2307/4330623,703
10.2307/4330622,373
10.2307/4330823,588
10.2307/4330822,151
10.2307/4330821,259
10.2307/4330820,407
10.2307/4330827,588
10.2307/4330826,151
10.2307/4330825,588
10.2307/4330824,588
10.1007/s10739-015-9411-x,689
10.2307/29737549,672
10.2307/29737548,408
10.2307/29737547,835
10.2307/29737547,581
10.2307/29737546,700
10.2307/29737541,668
10.2307/29737540,233
10.2307/29737542,7
10.1007/s10739-014-9380-5,668
10.1007/s10739-013-9361-0,360
10.1007/s10739-013-9369-5,297
10.2307/41488429,763
10.2307/41488428,223
10.2307/41488423,98
10.2307/41488390,468
10.2307/41488393,156
10.2307/41488420,641
10.2307/41488427,232
10.2307/41488394,136
10.2307/41488425,589
10.2307/41488424,223
10.2307/4331820,200
10.2307/4330960,708
10.2307/42628810,297
10.2307/4331639,43
10.2307/4331638,319
10.2307/4331951,192
10.1007/s10739-015-9419-2,614
10.2307/4331244,660
10.2307/4331245,470
10.2307/4331246,728
10.2307/4331711,200
10.2307/4330729,663
10.2307/4330729,527
10.2307/4331716,16
10.2307/4331271,32
10.2307/4331270,84
10.2307/4331273,235
10.2307/4331272,85
10.2307/4331279,754
10.2307/4331278,123
10.2307/4331715,709
10.2307/4330964,796
10.2307/4331877,262
10.2307/4331876,109
10.2307/4331875,357
10.2307/4331874,738
10.2307/4331871,267
10.2307/4331870,118
10.2307/4331879,610
10.2307/4331878,658
10.2307/4331189,586
10.2307/4331188,393
10.2307/4331183,125
10.2307/4331182,796
10.2307/4331181,588
10.2307/4331180,264
10.2307/4331187,32
10.2307/4331479,634
10.2307/4331479,660
10.2307/4331478,329
10.2307/4331473,448
10.2307/4331472,371
10.2307/4331471,523
10.2307/4331470,815
10.2307/4331477,229
10.2307/4331924,72
10.2307/4331983,342
10.2307/4331982,16
10.2307/4331981,234
10.2307/4331980,200
10.2307/4331986,555
10.2307/4331985,243
10.2307/4331984,472
10.2307/4331989,90
10.2307/4331697,633
10.2307/4331696,434
10.2307/4331695,597
10.2307/4331694,106
10.2307/4331693,44
10.2307/4331692,234
10.2307/4331691,421
10.2307/4331690,419
10.2307/4331699,631
10.2307/4331698,639
10.2307/4331507,466
10.2307/4331506,751
10.2307/4331506,124
10.2307/4330582,245
10.2307/4331503,191
10.2307/4331502,243
10.2307/4331501,277
10.2307/40271539,532
10.2307/4331051,458
10.2307/4330589,385
10.2307/40271534,6
10.2307/4331052,278
10.2307/4331055,796
10.2307/4331054,454
10.2307/4331509,237
10.2307/4331508,227
10.2307/4330905,161
10.2307/4330906,381
10.2307/4330906,444
10.2307/4330907,282
10.2307/4330900,610
10.1007/s10739-012-9333-9,756
10.2307/4330908,189
10.2307/4330909,727
10.2307/4330639,566
10.2307/4330632,469
10.2307/4330633,588
10.2307/4330636,544
10.2307/4330637,332
10.2307/4330634,476
10.2307/4330634,99
10.2307/4330635,103
10.2307/4331290,711
10.1007/s10739-013-9364-x,196
